# Cotisants de chaque régime, observés puis projetés
# source_id: cor_regimes
# unite: personnes
# fiabilite:
#   haute (2010-2070) : effectifs publiés par le COR dans les
#             compléments de son rapport annuel, et recontrôlés par
#             scripts/verifier_donnees.py contre son classeur.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À PONDÉRER les cas types du côté de la RECETTE. La page « Coût »
# fait réagir la recette du système 4 par un rapport de cotisations
# calculé sur la grille des cas types ; chaque cas type y pesait
# jusqu'ici le nombre de RETRAITÉS de sa caisse, faute d'une série
# de cotisants, ce qui surreprésentait les régimes qui s'éteignent.
# Cette série donne les cotisants, et les projette : la SNCF n'en a
# plus aucun en 2070, la CNIEG cinquante et un.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# 1. LE MILLÉSIME. Ces effectifs viennent des compléments du rapport
#    de JUIN 2024, seul millésime publié : ni 2025 ni 2026 ne les
#    ont reconduits. Le reste du dépôt tourne sur le COR 2026.
# 2. L'ANNÉE DE DÉPART VARIE d'une caisse à l'autre : 2010 le plus
#    souvent, 2015 pour la fonction publique d'État, 2019 pour le
#    RCI, 2023 pour la CNRACL. Hors de la fenêtre de chaque caisse,
#    la valeur de bord est reconduite au niveau « estimée ».
# 3. UN COTISANT DE CAISSE N'EST PAS UNE PERSONNE : un polyaffilié
#    compte dans chacune de ses caisses. Les poids qu'on en tire sont
#    RELATIFS, comme ceux des retraités.
# 4. LA FONCTION PUBLIQUE D'ÉTAT EST D'UN SEUL TENANT, civils et
#    militaires confondus. Le partage entre les deux cas types qui
#    la réclament est une décision du modèle, écrite dans
#    donnees/cotisants.py.
#
# Ne pas modifier ces valeurs à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,caisse,cotisants,fiabilite
2036,agirc_arrco,21871320,haute
2036,banque_de_france,3227,haute
2036,canssm,210,haute
2036,cnav,24308103,haute
2036,cnavpl,711175,haute
2036,cnbf,73641,haute
2036,cnieg,97607,haute
2036,cnracl,2199987,haute
2036,crpcen,33411,haute
2036,crpnpac,62652,haute
2036,enim,26726,haute
2036,erafp,4964266,haute
2036,fonction_publique_etat,1978886,haute
2036,fspoeie,7,haute
2036,ircantec,3184810,haute
2036,msa_exploitants,365762,haute
2036,msa_salaries,823767,haute
2036,ratp,15867,haute
2036,rci_complementaire,1907870,haute
2036,sncf,64137,haute
2037,agirc_arrco,21887442,haute
2037,banque_de_france,3043,haute
2037,canssm,173,haute
2037,cnav,24192688,haute
2037,cnavpl,709401,haute
2037,cnbf,73661,haute
2037,cnieg,93915,haute
2037,cnracl,2200041,haute
2037,crpcen,31304,haute
2037,crpnpac,65705,haute
2037,enim,26599,haute
2037,erafp,4963807,haute
2037,fonction_publique_etat,1977031,haute
2037,fspoeie,6,haute
2037,ircantec,3184075,haute
2037,msa_exploitants,361869,haute
2037,msa_salaries,825075,haute
2037,ratp,14989,haute
2037,rci_complementaire,1908577,haute
2037,sncf,59879,haute
2038,agirc_arrco,21899880,haute
2038,banque_de_france,2844,haute
2038,canssm,144,haute
2038,cnav,24291046,haute
2038,cnavpl,708388,haute
2038,cnbf,73674,haute
2038,cnieg,90090,haute
2038,cnracl,2200145,haute
2038,crpcen,29243,haute
2038,crpnpac,68847,haute
2038,enim,26476,haute
2038,erafp,4963999,haute
2038,fonction_publique_etat,1976133,haute
2038,fspoeie,6,haute
2038,ircantec,3183363,haute
2038,msa_exploitants,358146,haute
2038,msa_salaries,826385,haute
2038,ratp,14122,haute
2038,rci_complementaire,1910107,haute
2038,sncf,55900,haute
2039,agirc_arrco,21917385,haute
2039,banque_de_france,2657,haute
2039,canssm,122,haute
2039,cnav,24215885,haute
2039,cnavpl,708057,haute
2039,cnbf,73657,haute
2039,cnieg,86199,haute
2039,cnracl,2200163,haute
2039,crpcen,27088,haute
2039,crpnpac,72037,haute
2039,enim,26361,haute
2039,erafp,4964147,haute
2039,fonction_publique_etat,1974498,haute
2039,fspoeie,5,haute
2039,ircantec,3182839,haute
2039,msa_exploitants,354553,haute
2039,msa_salaries,827698,haute
2039,ratp,13335,haute
2039,rci_complementaire,1912016,haute
2039,sncf,52141,haute
2040,agirc_arrco,21927719,haute
2040,banque_de_france,2455,haute
2040,canssm,104,haute
2040,cnav,24260156,haute
2040,cnavpl,708130,haute
2040,cnbf,73651,haute
2040,cnieg,82322,haute
2040,cnracl,2200104,haute
2040,crpcen,24877,haute
2040,crpnpac,75090,haute
2040,enim,26230,haute
2040,erafp,4964402,haute
2040,fonction_publique_etat,1973260,haute
2040,fspoeie,5,haute
2040,ircantec,3182614,haute
2040,msa_exploitants,351107,haute
2040,msa_salaries,829012,haute
2040,ratp,12589,haute
2040,rci_complementaire,1912460,haute
2040,sncf,48478,haute
2041,agirc_arrco,21922950,haute
2041,banque_de_france,2247,haute
2041,canssm,89,haute
2041,cnav,24201505,haute
2041,cnavpl,708425,haute
2041,cnbf,73611,haute
2041,cnieg,78463,haute
2041,cnracl,2198057,haute
2041,crpcen,22851,haute
2041,crpnpac,78221,haute
2041,enim,26082,haute
2041,erafp,4963408,haute
2041,fonction_publique_etat,1970431,haute
2041,fspoeie,4,haute
2041,ircantec,3180701,haute
2041,msa_exploitants,347800,haute
2041,msa_salaries,830328,haute
2041,ratp,11879,haute
2041,rci_complementaire,1911946,haute
2041,sncf,44758,haute
2042,agirc_arrco,21909930,haute
2042,banque_de_france,2023,haute
2042,canssm,74,haute
2042,cnav,24130612,haute
2042,cnavpl,708817,haute
2042,cnbf,73597,haute
2042,cnieg,74665,haute
2042,cnracl,2195530,haute
2042,crpcen,20937,haute
2042,crpnpac,80905,haute
2042,enim,25928,haute
2042,erafp,4960174,haute
2042,fonction_publique_etat,1967768,haute
2042,fspoeie,4,haute
2042,ircantec,3178308,haute
2042,msa_exploitants,344634,haute
2042,msa_salaries,831647,haute
2042,ratp,11206,haute
2042,rci_complementaire,1910825,haute
2042,sncf,41053,haute
2043,agirc_arrco,21892164,haute
2043,banque_de_france,1820,haute
2043,canssm,62,haute
2043,cnav,24127858,haute
2043,cnavpl,709219,haute
2043,cnbf,73543,haute
2043,cnieg,70927,haute
2043,cnracl,2192660,haute
2043,crpcen,19127,haute
2043,crpnpac,83652,haute
2043,enim,25772,haute
2043,erafp,4955850,haute
2043,fonction_publique_etat,1964475,haute
2043,fspoeie,4,haute
2043,ircantec,3175272,haute
2043,msa_exploitants,341599,haute
2043,msa_salaries,832967,haute
2043,ratp,10544,haute
2043,rci_complementaire,1909045,haute
2043,sncf,37501,haute
2044,agirc_arrco,21870496,haute
2044,banque_de_france,1611,haute
2044,canssm,53,haute
2044,cnav,24097298,haute
2044,cnavpl,709309,haute
2044,cnbf,73512,haute
2044,cnieg,67191,haute
2044,cnracl,2189466,haute
